,,,RENSEIGNMENTS SUR L'EMPLACEMENT,,,RENSEIGNMENTS SUR LA STRUCTURE,,,,,,,,,,,RENSEIGNMENTS ADMINISTRATIVES,,,,RENSEIGNMENTS DE L'INSPECTION (IEP = Indice de l'état du pont),,,,,,,,,,,,,,,,,,,
38S- 137/,COOPER'S CREEK BRIDGE,PONT DU RUISSEAU COOPER ,670,46.4677,-83.62524,Bridge,Temporary Modular,Other TMB,Steel,2010,,,1,Total=18.3  (1)=18.3;,18.6,4.7,Northeastern,,Open to traffic,Provincial,08/23/2017,87.9,87.9,,92.1,,95.1,,100,,68.4,,65.9,72,,58.2,,,,46
38S- 142/,SAUBLE RIVER BAILEY BRIDGE,PONT BAILEY DE LA RIVIÈRE SAUBLE ,810,46.45592,-82.17922,Bridge,Temporary Modular,Bailey Panel,Steel,1973,,2008,1,Total=27.5  (1)=27.5;,27.5,3.76,Northeastern,,Open to traffic,Provincial,09/13/2016,61.9,,61.9,,62.3,,61.6,,63,,63.6,,68.3,,58.9,60.6,,,
38S- 145/1,BAR RIVER BRIDGE EASTBOUND LANES,PONT BAR RIVER VOIES DIRECTION EST ,17,46.4317,-84.06836,Bridge,Beam/Girder,Plate I Girder,Weathering Steel,1976,2004,2000,1,Total=18.3  (1)=18.3;,18.9,13.67,Northeastern,,Open to traffic,Provincial,08/17/2017,72.8,72.8,,73.7,,73.9,,74.2,,74.4,,92.2,73.5,,62.1,,,,65.7
38S- 145/2,BAR RIVER BRIDGE WESTBOUND LANES,PONT BAR RIVER VOIES DIRECTION OUEST ,17,46.43177,-84.06768,Bridge,Frame,"Rigid Frame, Inclined Leg",Reinforced Cast-In-Place Concrete,1937,,2004,1,Total=11  (1)=11;,12.2,14.02,Northeastern,,Open to traffic,Provincial,08/16/2017,65.4,65.4,,65.8,,66.1,,66.1,,68.7,,66.9,69,,59,,,,58.4
38S- 161/,THESSALON RIVER BAILEY BRIDGE,PONT BAILEY DE LA RIVIÈRE THESSALON ,638,46.36333,-83.74179,Bridge,Temporary Modular,Bailey Panel,Steel,1970,,,3,Total=60.9  (1)=9.1;(2)=42.7;(3)=9.1;,61,4.3,Northeastern,,Open to traffic,Provincial,11/01/2017,74.6,74.6,,74.7,,74.8,,74.8,,74.9,,74.9,75,,65.8,,,,71.8
38S- 168/,MISSISSAGI  RIVER BRIDGE,PONT DE LA RIVIÈRE MISSISSAGI ,129,46.42191,-83.37606,Bridge,Beam/Girder,Rolled I Beam,Steel,1949,1998,,4,Total=91.2  (1)=20;(2)=25.6;(3)=25.6;(4)=20;,93.3,11.6,Northeastern,,Open to traffic,Provincial,10/24/2017,68.7,68.7,,67.9,,68.2,,68.9,,71.3,,70.6,71,,66.7,,,,68.2
38S- 170/,LITTLE WHITE RIVER BRIDGE #3,PONT DE LA RIVIÈRE LITTLE WHITE,554,46.39382,-83.28484,Bridge,Beam/Girder,Plate I Girder,Weathering Steel,1985,,,3,Total=70  (1)=20;(2)=30;(3)=20;,71.9,9.5,Northeastern,,Open to traffic,Provincial,08/24/2017,77.2,77.2,,82,,86.8,,88.1,,90.5,,88.7,90.1,,71.3,,,,73.6
38S- 171/C,MARSHALL'S CREEK CULVERT,,546,46.36311,-83.24358,Culvert,Closed Culvert,Ellipse Culvert,Corrugated Steel,1967,,,1,Total=4.9;  (1)=4.9;,24.8,,Northeastern,,Open to traffic,Provincial,08/01/2017,60.3,60.3,,60.8,,62.1,,62.6,,61.4,,62,62.9,,70.8,,,,
38S- 172/,WEST RIVER AUX SABLES BRIDGE,PONT BAILEY DE LA RIVIÈRE SAUBLE ,810,46.44704,-82.18521,Bridge,Temporary Modular,Bailey Panel,Steel,1973,,,1,Total=30.5  (1)=30.5;,30.5,3.66,Northeastern,,Open to traffic,Provincial,09/13/2016,62.2,,62.2,,62.3,,65.9,,64.6,,64.8,,63.9,,52.6,57.8,,,
38S- 175/,ST. MARY'S RIVER BRIDGE,PONT DE LA RIVIÈRE St. Mary's ,548,46.32025,-83.99822,Bridge,Frame,"Rigid Frame, Inclined Leg",Reinforced Cast-In-Place Concrete,1951,1999,,1,Total=18.3  (1)=18.3;,20.2,11.18,Northeastern,,Open to traffic,Provincial,10/18/2017,65.1,65.1,,65,,65.1,,65.3,,67,,66.9,67.8,,67.1,,,,66.4
38S- 176/,BERNT GILBENTSON BRIDGE (ST. JOSEPH SKYWAY),PONT BERNT GILBENTSON (ST. JOSEPH SKYWAY) ,548,46.316585,-83.992369,Bridge,Beam/Girder,Box Beam,Weathering Steel,1972,1998,,8,Total=354  (1)=42;(2)=42;(3)=43;(4)=55;(5)=43;(6)=43;(7)=43;(8)=43;,356.6,10.36,Northeastern,,Open to traffic,Provincial,10/10/2017,72.3,72.3,,72.4,,73,,73,,73.8,,73.5,73.6,,74.6,,,,71.1
38S- 177/,MUNROE ISLAND BRIDGE,PONT Munroe Island ,548,46.31191,-83.98809,Bridge,Beam/Girder,Box Beam,Weathering Steel,1995,,,1,Total=50  (1)=50;,50.7,12.23,Northeastern,,Open to traffic,Provincial,10/17/2017,76.5,76.5,,84.5,,84.7,,92.6,,96.4,,96.6,91.1,,75,,,,72.9
38S- 179/C,DESBARATS CREEK CULVERT (WALKER R.),,17,46.3444,-83.92184,Culvert,Closed Culvert,Box Culvert (Rigid Frame),Reinforced Precast Concrete,2008,,,1,Total=5.5  (1)=5.5;,33.6,,Northeastern,,Open to traffic,Provincial,09/05/2017,89.8,89.8,,,,98.9,,,,99.7,,3.4,3.7,,29.8,,25.5,,
38S- 180/,STOBIE CREEK BRIDGE,PONT STOBIE CREEK ,17,46.34194,-83.88881,Bridge,Frame,"Rigid Frame, Inclined Leg",Reinforced Cast-In-Place Concrete,1938,1998,,1,Total=12  (1)=12;,13.4,10.9,Northeastern,,Open to traffic,Provincial,10/18/2017,49.5,49.5,,48.5,,46.6,,47.8,,49.6,,49.3,44.7,,59,,,,61
38S- 199/C,PHILLIPS CREEK CULVERTS,,129,46.3539,-83.47466,Culvert,Closed Culvert,Box Culvert (Non-Rigid Frame),Reinforced Precast Concrete,2016,,2016,1,Total=5  (1)=5.0;,37.43,,Northeastern,,Open to traffic,Provincial,08/01/2017,100,100,,8.9,,56.3,,57.2,,57.6,,54.7,54.5,,65.4,,,,
38S- 201/C,HARRIS CREEK CULVERT,,17,46.29519,-83.35436,Culvert,Closed Culvert,Box Culvert (Rigid Frame),Reinforced Cast-In-Place Concrete,1959,,,2,Total=9.4  (1)=4.7;(2)=4.7;,21.6,,Northeastern,,Open to traffic,Provincial,08/24/2017,45.7,45.7,,46.3,,46.5,,47.5,,48.1,,47.5,47.7,,41,,42.7,,
38S- 202/,MISSISSAGI RIVER (AT IRON BRIDGE).,RIVIÈRE MISSISSAGI (au pont Iron ). ,17,46.27861,-83.22466,Bridge,Beam/Girder,Rolled I Beam,Steel,1949,2012,,5,Total=120  (1)=26;(2)=26;(3)=26;(4)=21;(5)=21;,120,11.69,Northeastern,,Open to traffic,Provincial,08/02/2017,88.3,88.3,,90.5,,68.3,,68.3,,65.8,,64.6,65.6,,69.2,,,,69.8
38S- 210/,CAMERON CREEK BAILEY BRIDGE,PONT BAILEY CAMERON CREEK ,553,46.32452,-82.19355,Bridge,Temporary Modular,Bailey Panel,Steel,1973,,2008,1,Total=12.2  (1)=12.2;,12.2,3.76,Northeastern,,Open to traffic,Provincial,10/12/2016,64.2,,64.2,,63.5,,65.3,,67.3,,67.6,,70.7,,60.3,59.6,,,
38S- 211/,HURON LINE BRIDGE (TWO TREE CREEK),PONT HURON LINE (TWO TREE CREEK) ,548,46.21509,-84.0661,Bridge,Beam/Girder,Plate I Girder,Weathering Steel,1995,,,1,Total=25  (1)=25;,25,9.6,Northeastern,,Open to traffic,Provincial,08/23/2017,76.5,76.5,,90.7,,90.8,,90.7,,93.9,,90.9,92.2,,74,,,,72.7
38S- 212/,RICHARDSON CREEK BRIDGE,PONT DU RUISSEAU RICHARDSON ,548,46.20237,-84.05383,Bridge,Slab,Other Slab Bridge,Reinforced Cast-In-Place Concrete,1969,,1993,1,Total=6  (1)=6;,6.4,9.14,Northeastern,,Open to traffic,Provincial,08/23/2017,70.8,70.8,,72.3,,71.7,,71.8,,72,,70.7,70.3,,63.1,,,,64.2
38S- 218/,THESSALON RIVER BRIDGE,PONT DE LA RIVIÈRE THESSALON,17,46.26518,-83.54971,Bridge,Beam/Girder,Rolled I Beam,Steel,1957,2001,2010,1,Total=34.7  (1)=34.7;,37.5,16.91,Northeastern,,Open to traffic,Provincial,09/22/2017,71.3,71.3,,72.5,,74.2,,74.4,,66.8,,66.6,67.1,,59.9,,,,55.7
38S- 219/,C. P. OVERHEAD AT THESSALON,VIADUC DU C. P. @ THESSALON ,17,46.27194,-83.53075,Bridge,Frame,"Rigid Frame, Inclined Leg",Reinforced Cast-In-Place Concrete,1958,2001,,3,Total=43  (1)=13;(2)=17;(3)=13;,43.5,12.19,Northeastern,,Open to traffic,Provincial,08/01/2017,67.8,67.8,,69.5,,71.1,,71.8,,72,,71.9,73.1,,,,,,52.5
38S- 237/,CATARACT RIVER BRIDGE,PONT DE LA RIVIÈRE Cataract ,557,46.25615,-82.97552,Bridge,Beam/Girder,Box Beam,Weathering Steel,1995,,,1,Total=34  (1)=34;,36.1,11.23,Northeastern,,Open to traffic,Provincial,10/11/2017,78.1,78.1,,86.1,,86.2,,90.5,,95.4,,93.9,93,,74.9,,,,72.8
38S- 238/,BLIND RIVER BRIDGE,PONT DE LA RIVIÈRE BLIND ,557,46.22656,-82.9791,Bridge,Slab,Solid Slab,Timber-Concrete Composite,1973,2003,,7,Total=52  (1)=6;(2)=8;(3)=8;(4)=8;(5)=8;(6)=8;(7)=6;,52.8,9.75,Northeastern,,Open to traffic,Provincial,09/06/2017,72.4,72.4,,72.5,,72.6,,73.1,,74.6,,83.8,85.6,,73.3,,,,43.1
38S- 241/,CPR  SUBWAY AT HWY 538,CPR Viaduc À Rte 538 ,538,46.18577,-82.81116,Bridge,Beam/Girder,Rolled I Beam,Steel,1921,,,1,Total=10  (1)=10;,12,5.3,Northeastern,,Open to traffic,Provincial - Joint Owner,09/06/2017,44.7,44.7,,48.5,,52,,51,,53.3,,53.4,53.9,,41.9,,,,42.6
38S- 242/,LAUZON CREEK BRIDGE,PONT DU RUISSEAU LAUZON ,538,46.18488,-82.81077,Bridge,Frame,"Rigid Frame, Inclined Leg",Reinforced Cast-In-Place Concrete,1967,2012,,1,Total=12.2  (1)=12.2;,13.7,9.75,Northeastern,,Open to traffic,Provincial,09/06/2017,70.5,70.5,,74.6,,60.1,,60.1,,64.5,,58.6,60,,63.9,,,,64.2
38S- 243/C,LAUZON CREEK CULVERT,,17,46.18877,-82.80811,Culvert,Open Culvert,Arch Culvert (OPEN),Reinforced Cast-In-Place Concrete,1937,,2007,1,Total=12.2  (1)=12.2;,26.8,,Northeastern,,Open to traffic,Provincial,07/10/2017,59.7,59.7,,61.3,,60.5,,65.4,,66.3,,68.4,57.1,,62.7,,,,67.6
38S- 247/,SERPENT RIVER BRIDGE,SERPENT RIVER ,17,46.21114,-82.51157,Bridge,Beam/Girder,AASHTO Girder,Reinforced Precast Concrete,2004,,,1,Total=42.5  (1)=42.5;,45,14.75,Northeastern,,Open to traffic,Provincial,10/12/2016,85,,85,,97.4,,97.5,,97.6,,97.1,,97.3,,,19.7,,,
38S- 252/,C.P.R. OVERHEAD,VIADUC DU C.P.R. @ WALFORD ,17,46.20678,-82.22269,Bridge,Frame,"Rigid Frame, Slab",Reinforced Cast-In-Place Concrete,1952,2000,,1,Total=14.22  (1)=14.22;,16.1,14.4,Northeastern,,Open to traffic,Provincial,07/20/2016,70.1,,70.1,,70.7,,70.8,,71.5,,71.7,,71.4,,69.1,67.4,,,
38S- 256/C,KASKAWAN RIVER CULVERT,,548,46.17571,-83.85864,Culvert,Closed Culvert,Box Culvert (Non-Rigid Frame),Reinforced Precast Concrete,2015,,2002,1,Total=4.26  (1)=4.26;,25.26,,Northeastern,,Open to traffic,Provincial,10/15/2015,99.3,,,99.3,,36.1,,39.2,,52.9,,52.8,74.5,,69.9,,,,
38S- 259/C,STOKELY CREEK CULVERTS,,17,46.80777,-84.39941,Culvert,Closed Culvert,Ellipse Culvert,Corrugated Steel,1976,2010,,2,Total=9  (1)=4.5;(2)=4.5;,30,,Northeastern,,Open to traffic,Provincial,07/12/2017,73.6,73.6,,74.5,,,,74.8,,49.3,,49.3,70.7,,71.5,,,,
38S- 265/,GOULAIS RIVER BRIDGE (AT SEARCHMONT),PONT DE LA RIVIÈRE GOULAIS (à Searchmont) ,532,46.77596,-84.05042,Bridge,Beam/Girder,Plate I Girder,Weathering Steel,1984,2014,,3,Total=88  (1)=22;(2)=44;(3)=22;,90,11.55,Northeastern,,Open to traffic,Provincial,08/02/2017,75.4,75.4,,76.6,,72.2,,72.8,,70.5,,70.9,70.8,,71.7,,,,72.5
38S- 266/C,McKINNON CK. CULVERT,,638,46.42421,-83.72254,Culvert,Closed Culvert,Box Culvert (Rigid Frame),Reinforced Cast-In-Place Concrete,1985,,,1,Total=6;  (1)=6;,45,,Northeastern,,Open to traffic,Provincial,07/11/2017,73.7,73.7,,74.6,,74.6,,,,74.2,,73.4,74.4,,54.9,,,,
38S- 267/C,WALKER CREEK CULVERT,,17,46.338645,-83.939955,Culvert,Closed Culvert,Box Culvert (Rigid Frame),Reinforced Cast-In-Place Concrete,1962,,,1,Total=4.9;  (1)=4.9;,36,,Northeastern,,Open to traffic,Provincial,07/11/2017,68.7,68.7,,69.7,,68.8,,68.8,,69,,69,94.2,,72.5,,66.4,,
38S- 272/,Boland River Bridge,PONT DE LA RIVIÈRE BOLAND ,639,46.61136,-82.79312,Bridge,Beam/Girder,Rolled I Beam,Steel,1964,,,3,Total=38.3  (1)=11;(2)=16.3;(3)=11;,39.8,9.15,Northeastern,,Open to traffic,Provincial,10/13/2016,65.9,,65.9,,66.5,,66.7,,67.3,,67.6,,67.4,,64,63.8,,,
38S- 274/C,SPECKLED TROUT CREEK CULVERT (C. R. F.),,17,47.31568,-84.59698,Culvert,Closed Culvert,Box Culvert (Rigid Frame),Reinforced Cast-In-Place Concrete,1954,,,1,Total=6;  (1)=6;,19.4,,Northeastern,,Open to traffic,Provincial,07/12/2017,57.5,57.6,,53.5,,57,,54.1,,54.5,,54.4,55.5,,59.6,,37.1,,
,,,,,,,,,,,,,,,,,,,,,,57.6,57.6,,53.5,,57,,54.1,,54.5,,54.4,55.5,,59.6,,37.1,,
38S- 285/C,SHEWFELT CREEK CULVERT ,,17,46.33772,-84.04202,Culvert,Other Culvert,Rectangular Culvert (Unknown),Reinforced Cast-In-Place Concrete,1977,,,1,Total=7.2  (1)=7.2;,66,,Northeastern,,Open to traffic,Provincial,07/11/2017,48.9,49,,51,,53.7,,56.6,,59.6,,53.8,55.2,,49.3,,,,
,,,,,,,,,,,,,,,,,,,,,,49,49,,51,,53.7,,56.6,,59.6,,53.8,55.2,,49.3,,,,
38S- 290/C,ATIKINSON CREEK CULVERT NO. 1,,532,46.81784,-84.0896,Culvert,Closed Culvert,Round Culvert,Corrugated Steel,1978,,,1,Total=3.4  (1)=3.4;,25,,Northeastern,,Open to traffic,Provincial,08/02/2017,66.5,66.5,,67.2,,66.8,,66.8,,67.7,,67.7,72.1,,63.8,,,,
38S- 291/C,ATKINSON CREEK CULVERT NO. 2,,532,46.82235,-84.09319,Culvert,Closed Culvert,Round Culvert,Corrugated Steel,1978,,,1,Total=3.3  (1)=3.3;,24.7,,Northeastern,,Open to traffic,Provincial,08/02/2017,65.3,65.3,,67.4,,67.4,,67.5,,64.9,,67.7,71.8,,56.5,,,,
38S- 326/C,BIG CARP TRIBUTARY CULVERT,,565,46.52974,-84.48663,Culvert,Closed Culvert,Box Culvert (Rigid Frame),Reinforced Cast-In-Place Concrete,1958,,,1,Total=4.3  (1)=4.3;,20.5,,Northeastern,,Open to traffic,Provincial,08/03/2017,72,72,,72.9,,73.5,,,,73.5,,73.3,72,,56.5,,53.5,,
38S- 331/C,Sharpsand River South Culvert,,129,46.771092,-83.347547,Culvert,Closed Culvert,Box Culvert (Rigid Frame),Reinforced Precast Concrete,2016,2016,,1,Total=3  (1)=3;,32,,Northeastern,,Open to traffic,Provincial,07/12/2017,99,99,,,,,,,,,,,,,,,,,
38S- 339/C,MASHAGAMA CREEK CULVERT,,556,46.86703,-83.38138,Culvert,Closed Culvert,Round Culvert,Corrugated Steel,,,,1,Total=3;  (1)=3;,21.5,,Northeastern,,Open to traffic,Provincial,08/16/2017,54.8,54.8,,55.1,,67.7,,71.6,,70.8,,65.6,69.5,,65.4,,,,
38S- 340/,AUBINADONG RIVER BRIDGE,PONT DE LA RIVIÈRE AUBINADONG ,556,46.90085,-83.41889,Bridge,Beam/Girder,Plate I Girder,Weathering Steel,1994,,,1,Total=52  (1)=52;,67.5,9,Northeastern,,Open to traffic,Provincial,08/16/2017,76.1,76.1,,89.3,,89.2,,93.5,,93,,94.1,75,,70.3,,,,74.7
38S- 341/,GARDEN RIVER BRIDGE,PONT DE LA RIVIÈRE GARDEN,556,46.86856,-83.57585,Bridge,Beam/Girder,Rolled I Beam,Steel,2011,2011,,1,Total=9  (1)=9;,15.5,4.7,Northeastern,,Open to traffic,Provincial,08/17/2017,85.7,85.7,,91.1,,94.7,,67.4,,72.1,,58.2,60.9,,65.3,,,,67.5
38S- 345/,HARMONY RIVER BRIDGE,PONT DE LA RIVIÈRE HARMONY ,7090,46.84477,-84.37291,Bridge,Temporary Modular,Other TMB,Steel,2010,,,1,Total=27.6  (1)=27.6;,28.3,6.4,Northeastern,,Open to traffic,Provincial,08/03/2017,90.6,90.6,,96.8,,98.4,,98.8,,69.4,,65.4,59.8,,69.6,,,,
38S- 350/C,WHITE RIVER TRIBUTARY CULVERT,,546,46.51511,-83.07407,Culvert,Closed Culvert,Round Culvert,Corrugated Steel,1988,,,2,Total=4.4  (1)=2.2;(2)=2.2;,19.5,,Northeastern,,Open to traffic,Provincial,07/11/2017,48.9,48.9,,53.2,,67.3,,71.6,,70.6,,83.1,87.6,,66.5,,,,
38S- 351/C,SPRAGGE CREEK CULVERT,,17,46.20705,-82.66447,Culvert,Closed Culvert,Box Culvert (Rigid Frame),Reinforced Cast-In-Place Concrete,1937,,,1,Total=6.1  (1)=6.1;,30.6,,Northeastern,,Open to traffic,Provincial,07/10/2017,56.9,56.9,,59.5,,60.6,,62.8,,63.9,,62.7,63.5,,44.2,,,,
38S- 353/C,ALONA RIVER CULVERT,,17,47.16364,-84.6916,Culvert,Closed Culvert,Box Culvert (Rigid Frame),Reinforced Cast-In-Place Concrete,1958,1993,,2,Total=9.2;  (1)=4.6;(2)=4.6;,51.5,,Northeastern,,Open to traffic,Provincial,07/12/2017,70.9,71,,71.4,,67.3,,,,71,,70.3,71.1,,62.9,,61.1,,
,,,,,,,,,,,,,,,,,,,,,,71,71,,71.4,,67.3,,,,71,,70.3,71.1,,62.9,,61.1,,
38S- 354/C,DYKE CREEK CULVERT,,17,46.19492,-83.01744,Culvert,Other Culvert,Rectangular Culvert (Unknown),Reinforced Cast-In-Place Concrete,1949,,,1,Total=6.1  (1)=6.1;,22.5,,Northeastern,,Open to traffic,Provincial,09/01/2017,53.2,53.2,,53.2,,53.6,,53.9,,54,,54,60.8,,46.4,,44.5,,
38S- 355/,BELLEVUE CREEK BRIDGE,PONT DU RUISSEAU BELLEVUE,552,46.70908,-84.28355,Bridge,Temporary Modular,Acrow Panel,Steel,1995,,,1,Total=36.6  (1)=36.6;,37.4,7,Northeastern,,Open to traffic,Provincial,07/18/2017,72.9,72.9,,73.1,,73.6,,73.9,,73.9,,77.5,92.3,,68.9,,,,72.5
38S- 358/C,WHARNCLIFFE CREEK CULVERT,,129,46.41817,-83.39871,Culvert,Closed Culvert,Round Culvert,Corrugated Steel,1949,,2015,1,Total=2.4  (1)=2.4;,39,,Northeastern,,Open to traffic,Provincial,10/19/2015,95,,,95,,68,,68.3,,68.8,,72.9,65.9,,52.2,,,,
38S- 363/C,LADOUCER CREEK CULVERT,,17,46.28778,-83.40345,Culvert,Closed Culvert,Box Culvert (Rigid Frame),Reinforced Cast-In-Place Concrete,1958,,,1,Total=6;  (1)=6;,21.5,,Northeastern,,Open to traffic,Provincial,08/24/2017,71.4,71.4,,71.5,,72.3,,71.5,,71.5,,71.5,99.4,,75,,75,,
38S- 365/C,PALMERS CREEK CULVERT,,129,46.41051,-83.40945,Culvert,Closed Culvert,Box Culvert (Rigid Frame),Reinforced Precast Concrete,1949,,,1,Total=3.66;  (1)=3.66;,19.5,,Northeastern,,Open to traffic,Provincial,07/11/2017,68.9,68.9,,72.3,,72.8,,,,73.5,,72.6,73.5,,50.6,,,,
38S- 369/C,GOVERNMENT CREEK CULVERT,,17,46.86897,-84.35387,Culvert,Closed Culvert,Round Culvert,Corrugated Steel,1990,,2010,1,Total=3.05  (1)=3.05;,24.5,,Northeastern,,Open to traffic,Provincial,08/03/2017,74.2,74.2,,74.4,,,,72.6,,47.7,,47.6,69,,50.6,,55,,
38S- 370/C,JONES CREEK CULVERT,,17,46.88931,-84.36142,Culvert,Closed Culvert,Box Culvert (Rigid Frame),Reinforced Cast-In-Place Concrete,1961,,,1,Total=3;  (1)=3;,27.3,,Northeastern,,Open to traffic,Provincial,08/03/2017,72,72,,72.1,,72.6,,,,72.5,,71.8,72,,61.9,,61.6,,
38S- 373/C,SHARPSAND RIVER TRIBUTARY CULVERT,,129,46.79644,-83.32192,Culvert,Closed Culvert,Box Culvert (Rigid Frame),Reinforced Precast Concrete,2016,2016,,1,Total=3;  (1)=3;,19,,Northeastern,,Open to traffic,Provincial,07/12/2017,99,99,,9.4,,9.4,,14.5,,14,,15,56.4,,54.5,,,,
38S- 375/C,CUMMINGS CREEK CULVERT (TUNNEL LAKE),,129,46.45705,-83.36167,Culvert,Open Culvert,Open Footing (Rigid Frame),Reinforced Cast-In-Place Concrete,1949,,,1,Total=4.3;  (1)=4.3;,22,,Northeastern,,Open to traffic,Provincial,07/12/2017,49.8,49.8,,63.1,,65.4,,65.1,,68.9,,61.1,61.1,,54.8,,,,
38S- 376/C,MACBETH CREEK CULVERT,,17,46.28814,-83.6117,Culvert,Other Culvert,Rectangular Culvert (Unknown),Reinforced Cast-In-Place Concrete,1962,,,1,Total=4.3;  (1)=4.3;,30.2,,Northeastern,,Open to traffic,Provincial,08/24/2017,49.7,49.7,,50.9,,50.9,,52.7,,53.2,,43.7,0.6,,35.7,,35.4,,
38S- 377/C,LITTLE JORDAN RIVER CULVERT,,17,46.30014,-83.79178,Culvert,Other Culvert,Rectangular Culvert (Unknown),Reinforced Cast-In-Place Concrete,1962,,,1,Total=3.7;  (1)=3.7;,20.1,,Northeastern,,Open to traffic,Provincial,08/24/2017,63.6,63.6,,64,,66.4,,68.2,,70.7,,68.6,70.5,,35.6,,35.9,,
38S- 381/C,ROBERTSON CREEK CULVERT,,552,46.73901,-84.33397,Culvert,Closed Culvert,Box Culvert (Rigid Frame),Reinforced Cast-In-Place Concrete,1965,,,1,Total=7  (1)=7;,25,,Northeastern,,Open to traffic,Provincial,07/12/2017,65.2,65.2,,66.7,,67.4,,67.6,,68.9,,63.9,64.9,,62.9,,,,
38S- 384/C,DOWNEY CREEK CULVERT,,17,46.89909,-84.37806,Culvert,Closed Culvert,Box Culvert (Rigid Frame),Reinforced Cast-In-Place Concrete,1961,,,1,Total=3;  (1)=3;,24.4,,Northeastern,,Open to traffic,Provincial,09/01/2017,70.5,70.5,,70.5,,72.3,,,,71,,73.6,73.8,,59.9,,34.9,,
38S- 386/C,MACHINE SHOP CREEK CULVERT,,546,46.39201,-83.25269,Culvert,Closed Culvert,Box Culvert (Rigid Frame),Prestressed Precast Concrete,2015,,,1,Total=4  (1)=4;,27,,Northeastern,,Open to traffic,Provincial,10/16/2015,99.3,,,99.3,,26.7,,26.7,,25.7,,31,75,,39.3,,,,
38S- 387/C,BAKKERS CREEK CULVERT,,554,46.3657,-83.25737,Culvert,Closed Culvert,Ellipse Culvert,Corrugated Steel,1998,,,1,Total=3.25  (1)=3.25;,21.5,,Northeastern,,Open to traffic,Provincial,08/24/2017,69.9,69.9,,70.1,,70.1,,70.1,,70.9,,71.1,75,,68,,,,
38S- 388/C,DEVEES CREEK CULVERT,,554,46.37662,-83.28544,Culvert,Closed Culvert,Box Culvert (Rigid Frame),Reinforced Precast Concrete,2015,2015,,1,Total=3;  (1)=3;,27,,Northeastern,,Open to traffic,Provincial,06/24/2015,99.9,,,99.9,,9.2,,9.2,,10.5,,10.4,0.9,,64.6,,,,
38S- 392/C,MARCELLIUS CREEK CULVERT,,17,46.21251,-82.59181,Culvert,Closed Culvert,Box Culvert (Rigid Frame),Reinforced Cast-In-Place Concrete,1937,,,1,Total=4.3;  (1)=4.3;,28.6,,Northeastern,,Open to traffic,Provincial,09/07/2017,72.6,72.6,,72.8,,72.9,,,,73,,73,74,,66,,41.9,,
38S- 397/C,AGAWA RIVER OVERFLOW CULVERT NO.3 (EAST),,17,47.35357,-84.63242,Culvert,Closed Culvert,Round Culvert,Corrugated Steel,1993,,,1,Total=3;  (1)=3;,23,,Northeastern,,Open to traffic,Provincial,09/01/2017,54.1,54.1,,54.6,,55.5,,62.4,,62.4,,62.4,64.5,,69.7,,45.8,,
38S- 398/C,AGAWA RIVER OVERFLOW CULVERT NO.2 (CENTRE),,17,47.35457,-84.63353,Culvert,Closed Culvert,Round Culvert,Corrugated Steel,1993,,,1,Total=3;  (1)=3;,31.4,,Northeastern,,Open to traffic,Provincial,09/01/2017,54.7,54.7,,54.7,,56.4,,60.9,,60.9,,60.9,61.1,,69.7,,50.1,,
38S- 399/C,AGAWA RIVER OVERFLOW CULVERT NO.1 (WEST),,17,47.35645,-84.63548,Culvert,Closed Culvert,Round Culvert,Steel,1993,,,1,Total=3;  (1)=3;,30.4,,Northeastern,,Open to traffic,Provincial,09/01/2017,42.3,42.3,,42.3,,44.8,,46.9,,47,,44.8,72,,52.1,,47.1,,
38S- 400/C,COTTRELL COVE CULVERT,,17,46.9691,-84.75328,Culvert,Closed Culvert,Box Culvert (Rigid Frame),Reinforced Cast-In-Place Concrete,1963,,,1,Total=3;  (1)=3;,25.1,,Northeastern,,Open to traffic,Provincial,08/03/2017,73.5,73.5,,73.6,,74.7,,,,74.4,,73.3,73.3,,59.5,,43.9,,
38S- 402/C,EVERETT LAKE TRIB. CULVERT,,17,46.25716,-83.19547,Culvert,Closed Culvert,Box Culvert (Rigid Frame),Reinforced Cast-In-Place Concrete,1949,,,1,Total=3.1  (1)=3.1;,31.8,,Northeastern,,Open to traffic,Provincial,08/24/2017,68.2,68.2,,68.5,,68.9,,69.3,,69.6,,69.2,48.7,,60.2,,42.1,,
38S- 404/C,JOHNSON TOWNSHIP CULVERT,,17,46.32947,-83.87113,Culvert,Closed Culvert,Box Culvert (Non-Rigid Frame),Reinforced Cast-In-Place Concrete,2014,2014,,1,Total=3;  (1)=3;,45.5,,Northeastern,,Open to traffic,Provincial,06/22/2015,99.7,,,99.7,,18.1,,23,,23.1,,16.6,65.9,,41.2,,61.4,,
38S- 407/C,SERPENT LAKE TRIB. CULVERT,,17,46.21301,-82.57832,Culvert,Closed Culvert,Box Culvert (Rigid Frame),Reinforced Cast-In-Place Concrete,1937,,2017,1,Total=3.7;  (1)=3.7;,28,,Northeastern,,Open to traffic,Provincial,09/07/2017,74,74,,72.5,,73.5,,,,74.8,,70.7,71,,72.6,,40,,
